Ubicaci¢n,Pluviografo,X,Y
Hemeroteca Nacional,P01,998484.031,1004476.606
Hemeroteca Nacional,P02,998489.105,1004472.096
Concha Ac£stica,P03,998953.353,1004682.939
Concha Ac£stica,P04,998950.393,1004682.798
Posgrado Ciencias Humanas,P05,998977.418,1004196.017
Posgrado Ciencias Humanas,P06,998978.686,1004198.554
Edificio de Medicina,P07,999273.704,1004474.968
Edificio de Medicina,P08,999275.818,1004470.528
Capilla,P09,999560.919,1004046.866
Capilla,P10,999561.357,1004046.114
Laboratorio de Hidr uilica,P11,999513.606,1004692.673
Laboratorio de Hidr uilica,P12,999514.357,1004691.086
Instituto de Gen‚tica,P13,999376.259,1005188.516
Instituto de Gen‚tica,P14,999375.996,1005191.234
