Ubicación,Pluviograf,X,Y,x_cord,y_cord
Hemeroteca ,P01,998484.031,1004476.606,-74.0911705,4.6366827
Hemeroteca ,P02,998489.105,1004472.096,-74.0911248,4.6366419
Concha Acustica,P03,998953.353,1004682.939,-74.0869408,4.6385487
Concha Acustica,P04,998950.393,1004682.798,-74.0869675,4.6385474
Posgrado Ciencias H.,P05,998977.418,1004196.017,-74.0867239,4.6341454
Posgrado Ciencias H.,P06,998978.686,1004198.554,-74.0867124,4.6341683
Medicina,P07,999273.704,1004474.968,-74.0840536,4.636668
Medicina,P08,999275.818,1004470.528,-74.0840346,4.6366278
Capilla,P09,999560.919,1004046.866,-74.0814651,4.6327966
Capilla,P10,999561.357,1004046.114,-74.0814611,4.6327898
Hidráuilica,P11,999513.606,1004692.673,-74.0818915,4.6386367
Hidráuilica,P12,999514.357,1004691.086,-74.0818848,4.6386224
Genética,P13,999376.259,1005188.516,-74.0831294,4.6431207
Genética,P14,999375.996,1005191.234,-74.0831318,4.6431453
